Goroka Airport,GKA,AYGA
"Tromsø Airport,",TOS,ENTC
"Sandefjord Airport, Torp",TRF,ENTO
Trondheim Airport Værnes,TRD,ENVA
Stavanger Airport Sola,SVG,ENZV
Babice Airport,\N,EPBC
Gdańsk Lech Wałęsa Airport,GDN,EPGD
Kraków John Paul II International Airport,KRK,EPKK
Muchowiec Airport,\N,EPKM
Katowice International Airport,KTW,EPKT
Mielec Airport,\N,EPML
Poznań-Ławica Airport,POZ,EPPO
Rzeszów-Jasionka Airport,RZE,EPRZ
"Szczecin-Goleniów ""Solidarność"" Airport",SZZ,EPSC
Redzikowo Air Base,OSP,EPSK
Swidwin Military Air Base,\N,EPSN
Warsaw Chopin Airport,WAW,EPWA
Copernicus Wrocław Airport,WRO,EPWR
Zielona Góra-Babimost Airport,IEG,EPZG
Malmen Air Base,\N,ESCF
Bråvalla Air Base,\N,ESCK
Uppsala Airport,\N,ESCM
Ronneby Airport,RNB,ESDF
Råda Air Base,\N,ESFR
Gothenburg-Landvetter Airport,GOT,ESGG
Jönköping Airport,JKG,ESGJ
Falköping Airport,\N,ESGK
Lidköping-Hovby Airport,LDK,ESGL
Gothenburg City Airport,GSE,ESGP
Skövde Airport,KVB,ESGR
Trollhättan-Vänersborg Airport,THN,ESGT
Karlsborg Air Base,\N,ESIA
Såtenäs Air Base,\N,ESIB
Barkarby Airport,\N,ESKB
Karlskoga Airport,KSK,ESKK
Mora Airport,MXX,ESKM
Stockholm Skavsta Airport,NYO,ESKN
Arvika Airport,\N,ESKV
Emmaboda Airfield,\N,ESMA
Feringe Airport,\N,ESMG
Kristianstad Airport,KID,ESMK
Landskrona Airport,\N,ESML
Oskarshamn Airport,OSK,ESMO
Anderstorp Airport,\N,ESMP
Kalmar Airport,KLR,ESMQ
